Date,Active_Lever_Presses,Inactive_Lever_Presses,Session_Number,Stage,Animal.ID,Genotype,Drug,Dose
2018-09-18,279,0,2,PR 2HR + ATO,72,WT,ATO,1
2018-09-19,272,1,21,FR5,72,WT,,
2018-09-20,446,4,5,PR 2HR,72,WT,,
2018-09-21,238,2,22,FR5,72,WT,,
2018-09-24,200,0,23,FR5,72,WT,,
2018-09-25,480,2,3,PR 2HR + ATO,72,WT,Saline,0
2018-07-23,14,0,1,FR1 SL,70,WT,,
2018-07-24,72,0,2,FR1 SL,70,WT,,
2018-07-25,83,0,3,FR1 SL,70,WT,,
2018-07-26,85,0,4,FR1 SL,70,WT,,
2018-07-27,170,15,1,FR1 DL,70,WT,,
2018-07-30,123,7,2,FR1 DL,70,WT,,
2018-07-31,198,9,3,FR1 DL,70,WT,,
2018-08-01,252,16,4,FR1 DL,70,WT,,
2018-08-02,286,6,1,FR3,70,WT,,
2018-08-03,185,9,2,FR3,70,WT,,
2018-08-06,168,4,3,FR3,70,WT,,
2018-08-07,186,2,4,FR3,70,WT,,
2018-08-08,284,5,1,FR5,70,WT,,
2018-08-09,300,6,2,FR5,70,WT,,
2018-08-10,253,1,3,FR5,70,WT,,
2018-08-13,215,5,4,FR5,70,WT,,
2018-08-14,84,6,1,FR5 DEVAL,70,WT,,
2018-08-15,270,14,5,FR5,70,WT,,
2018-08-16,284,8,6,FR5,70,WT,,
2018-08-17,80,11,2,FR5 DEVAL,70,WT,,
2018-08-20,244,6,7,FR5,70,WT,,
2018-08-21,320,11,8,FR5,70,WT,,
2018-08-22,354,6,9,FR5,70,WT,,
2018-08-23,328,3,10,FR5,70,WT,,
2018-08-24,312,7,11,FR5,70,WT,,
2018-08-27,197,4,12,FR5,70,WT,,
2018-08-28,807,11,1,PR 2HR,70,WT,,
2018-08-29,294,4,13,FR5,70,WT,,
2018-08-30,1131,14,2,PR 2HR,70,WT,,
2018-08-31,314,5,14,FR5,70,WT,,
2018-09-03,374,1,15,FR5,70,WT,,
2018-09-04,1061,17,3,PR 2HR,70,WT,,
2018-09-05,339,0,16,FR5,70,WT,,
2018-09-06,379,2,1,PR DL/FR5 DL,70,WT,,
2018-09-07,1240,18,2,FR5 DL/PR DL,70,WT,,
2018-09-10,279,3,17,FR5,70,WT,,
2018-09-11,625,11,1,PR 2HR + ATO,70,WT,ATO,3
2018-09-12,333,3,18,FR5,70,WT,,
2018-09-13,1327,9,4,PR 2HR,70,WT,,
2018-09-14,282,2,19,FR5,70,WT,,
2018-09-17,359,7,20,FR5,70,WT,,
2018-09-18,897,8,2,PR 2HR + ATO,70,WT,ATO,1
2018-09-19,297,2,21,FR5,70,WT,,
2018-09-20,1327,12,5,PR 2HR,70,WT,,
2018-09-21,421,4,22,FR5,70,WT,,
2018-09-24,395,4,23,FR5,70,WT,,
